InitTime
1736110940.1231768
Timestamp,Sensor Data
0.6456537246704102,215.93
1.0455999374389648,219.93
1.446605920791626,218.93
1.8461086750030518,218.93
2.2460806369781494,220.93
2.645308017730713,216.93
3.04550838470459,214.93
3.4456381797790527,213.93
3.8458664417266846,213.93
4.246083498001099,213.93
4.646152019500732,213.93
5.045253276824951,218.93
5.4454028606414795,218.93
5.845359802246094,214.93
6.245878219604492,221.93
6.645358562469482,217.93
7.045327663421631,213.93
7.446106672286987,223.93
7.846029281616211,219.93
8.245553255081177,217.93
